ID,Included from paper (ID),Snowballing Direction,Title,Authors,Venue,Venue Type,Year,I1,I2,I3,E1,E2,E3,E4,E5,E6,Included,Notes
4A3AGUKH,HFGU26NT,B,A comprehensive study on the energy efficiency of java’s thread-safe collections,"Pinto, Gustavo; Liu, Kenan; Castor, Fernando; Liu, Yu David",2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),C,2016,x,x,x,,,,,,,x,Paper examines Java’s thread safe data structures and proposes to use data structures that increase energy efficiency.
59ILI6BA,HFGU26NT,B,EnerJ: Approximate data types for safe and general low-power computation,"Sampson, Adrian; Dietl, Werner; Fortuna, Emily; Gnanapragasam, Danushen; Ceze, Luis; Grossman, Dan",ACM SIGPLAN Notices,J,2011,x,x,x,,,,,,,x,Paper proposes to use approximate data types that declare data that may be subject to approximate computation in order to improve energy efficiency.
8EAS3MJ2,HFGU26NT,B,Exploiting significance of computations for energy-constrained approximate computing,"Vassiliadis, Vassilis; Chalios, Charalampos; Parasyris, Konstantinos; Antonopoulos, Christos D.; Lalis, Spyros; Bellas, Nikolaos; Vandierendonck, Hans; Nikolopoulos, Dimitrios S.",International Journal of Parallel Programming,J,2016,x,x,x,,,,,,,x,"Paper proposes a “simple programming model allows developers to structure the computation in different tasks, and to express the relative importance of these tasks for the quality of the end result.” (Vassiliadis et al., 2016, p. 1078)"
MNKBE98K,HFGU26NT,B,Towards automatic significance analysis for approximate computing,"Vassiliadis, Vassilis; Riehme, Jan; Deussen, Jens; Parasyris, Konstantinos; Antonopoulos, Christos D.; Bellas, Nikolaos; Lalis, Spyros; Naumann, Uwe",2016 IEEE/ACM International Symposium on Code Generation and Optimization (CGO),C,2016,x,x,x,,,,,,,x,"Paper proposes a framework “that produces a mathematically rigorous approach to automate specification of computational significance.” (Vassiliadis et al., 2016, p. 192) A programmer can then use “ this analysis to partition an application into OpenMP-like tasks and to rank these tasks according to their contribution to the output result.” (Vassiliadis et al., 2016, p. 192)"
PNH7EFHR,HFGU26NT,B,Greenoracle: Estimating software energy consumption with energy measurement corpora,"Chowdhury, Shaiful Alam; Hindle, Abram",2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR),C,2016,x,x,x,,,,,,,x,"Paper proposes an“approach whereby a collection of prior applications’ energy measurements allows us to train, transmit, and apply the model to estimate any foreign application’s energy consumption for a test run.” (Chowdhury and Hindle, 2016, p. 49)"
T35M4IVQ,HFGU26NT,B,Process-level power estimation in vm-based systems,"Colmant, Maxime; Kurpicz, Mascha; Felber, Pascal; Huertas, Loïc; Rouvoy, Romain; Sobe, Anita",Proceedings of the Tenth European Conference on Computer Systems,C,2015,x,x,x,,,,,,,x,"Paper proposes “BITWATTS which crosses the boundaries of virtual environments and provide an estimation of the power consumption of applications running within virtual machines (VMs).” (Colmant et al., 2015, p. 13)"
39G59GN3,TN6IQC7E,B,Leafactor: Improving energy efficiency of android apps via automatic refactoring,"Cruz, Luis; Abreu, Rui; Rouvignac, Jean-Noël",2017 IEEE/ACM 4th International Conference on Mobile Software Engineering and Systems (MOBILESoft),C,2017,x,x,x,,,,,,,x,"Paper proposes “Leafactor is a tool to automatically improve the energy consumption of Android apps.” (Cruz et al., 2017, p. 1)"
6RUTHNIE,TN6IQC7E,B,Haskell in green land: Analyzing the energy behavior of a purely functional language,"Lima, Luís Gabriel; Soares-Neto, Francisco; Lieuthier, Paulo; Castor, Fernando; Melfe, Gilberto; Fernandes, João Paulo","2016 IEEE 23rd international conference on Software Analysis, Evolution, and Reengineering (SANER)",C,2016,x,x,x,,,,,,,x,Paper proposes to extend multiple Haskell profilers to help developers measure energy consumption.
ZTXVCAIZ,U2KEHF3V,B,Energy types,"Cohen, Michael; Zhu, Haitao Steve; Senem, Emgin Ezgi; Liu, Yu David",Proceedings of the ACM international conference on Object oriented programming systems languages and applications,C,2012,x,x,x,,,,,,,x,Paper describes a programming model where energy phases and modes can be intuitively specified by programmers to increase the energy consumption of applications
X4C8FVY7,U2KEHF3V,B,Predicting data structures for energy efficient computing,"Michanan, Junya; Dewri, Rinku; Rutherford, Matthew J.",2015 Sixth International Green and Sustainable Computing Conference (IGSC),C,2015,x,x,x,,,,,,,x,"Paper proposes a “detailed a concept and an architecture for building adaptive green data structures that can intelligently adapt for energy efficiency.” (Michanan et al., 2015, p. 8)"
WKB2W4CI,98DNPTFE,F,Energy efficient data sorting using standard sorting algorithms,"Bunse, Christian; Höpfner, Hagen; Roychoudhury, Suman; Mansour, Essam",International Conference on Software and Data Technologies,C,2009,x,x,x,,,,,,,x,Paper has already been included.
ISZGIP3F,R2FNZSWN,F,SPELLing out energy leaks: Aiding developers locate energy inefficient code,"Pereira, Rui; Carção, Tiago; Couto, Marco; Cunha, Jácome; Fernandes, João Paulo; Saraiva, João",Journal of Systems and Software,J,2020,x,x,x,,,,,,,x,"Paper “proposes a technique to detect energy inefficient fragments in the source code of a software system.” (Pereira et al., 2020, p. 1)"
